iter	Logloss
0	0.689789856
1	0.6866483154
2	0.6836118164
3	0.6807355957
4	0.6779415283
5	0.675300415
6	0.6728147583
7	0.6704414673
8	0.6682957153
9	0.6661217041
10	0.6639959106
11	0.6621658936
12	0.6602617187
13	0.6584660645
14	0.6568876343
15	0.6552349854
16	0.6537480469
17	0.652371582
18	0.6510474854
19	0.6496985474
20	0.6484309692
21	0.6472880249
22	0.6461281738
23	0.6451549072
24	0.6440672607
25	0.6431949463
26	0.6422757568
27	0.6414842529
28	0.6407196655
29	0.6399193115
30	0.6390811157
31	0.6383969727
32	0.6376744995
33	0.6369465332
34	0.6362350464
35	0.6357402344
36	0.6350797119
37	0.634527832
38	0.6340809326
39	0.6335904541
40	0.6330531006
41	0.6325654297
42	0.6319956665
43	0.6314473877
44	0.6309726562
45	0.6306519775
46	0.6301849365
47	0.6298193359
48	0.6295161133
49	0.6291011353
50	0.6287089844
51	0.6283686523
52	0.6280464478
53	0.6277786865
54	0.627512085
55	0.627242981
56	0.6270537109
57	0.6267227783
58	0.6264884033
59	0.6262237549
60	0.6259484863
61	0.6257270508
62	0.6254547119
63	0.6252320557
64	0.6250215454
65	0.6247677002
66	0.624630188
67	0.6244453125
68	0.6242773437
69	0.624093811
70	0.6239281616
71	0.6237282715
72	0.6234991455
73	0.6232431641
74	0.6230535889
75	0.6227657471
76	0.6225877686
77	0.6224571533
78	0.6222127686
79	0.6219661255
80	0.6218656616
81	0.6216655273
82	0.6213618164
83	0.6211159668
84	0.6208564453
85	0.6206984863
86	0.6206625977
87	0.6204448853
88	0.620248291
89	0.619975708
90	0.6198474731
91	0.6197194824
92	0.6196157837
93	0.6194869995
94	0.6193615723
95	0.6191166382
96	0.6190808105
97	0.6190004883
98	0.6189689331
99	0.6187752686
100	0.6185561523
101	0.6183391113
102	0.6181917725
103	0.6180462036
104	0.6179023437
105	0.6177805176
106	0.6177423706
107	0.6175991211
108	0.6175026855
109	0.6173730469
110	0.6172606201
111	0.6170977173
112	0.6169321289
113	0.6167436523
114	0.6166196289
115	0.6165262451
116	0.6163809814
117	0.6162711792
118	0.616211792
119	0.6161022339
120	0.6159734497
121	0.6158666382
122	0.6157429199
123	0.6156151123
124	0.6155109253
125	0.6154246216
126	0.6153742676
127	0.6152249756
128	0.6150366211
129	0.6149515381
130	0.6148809814
131	0.6148208618
132	0.6146680908
133	0.6144229736
134	0.6143157349
135	0.6142473145
136	0.6140284424
137	0.6139727783
138	0.6138783569
139	0.6138764648
140	0.6137838745
141	0.613642334
142	0.6134747314
143	0.6133289795
144	0.6132609253
145	0.6131346436
146	0.6129952393
147	0.6128455811
148	0.6126605225
149	0.6125683594
150	0.6124192505
151	0.6123334961
152	0.6123099365
153	0.6122235107
154	0.6121411133
155	0.6120600586
156	0.611951416
157	0.6118100586
158	0.6117449951
159	0.611647583
160	0.6114437256
161	0.6113839111
162	0.61137146
163	0.6112704468
164	0.6112093506
165	0.6110750122
166	0.6108828125
167	0.6107969971
168	0.6106987305
169	0.6105872803
170	0.6104719849
171	0.6103469238
172	0.6101487427
173	0.6101151733
174	0.6100196533
175	0.6098917236
176	0.6098205566
177	0.6097312012
178	0.6096451416
179	0.6095529785
180	0.6093475342
181	0.609166748
182	0.6090892334
183	0.6089076538
184	0.6088219604
185	0.6087352905
186	0.608630249
187	0.6085667725
188	0.6084892578
189	0.6083865356
190	0.6082651367
191	0.6080931396
192	0.6079229736
193	0.6078029175
194	0.6077288208
195	0.6076395264
196	0.6074150391
197	0.6073149414
198	0.6071965332
199	0.6071838379
200	0.607137085
201	0.6070710449
202	0.606989563
203	0.6069143066
204	0.6068215942
205	0.6066365967
206	0.6064656982
207	0.6063469238
208	0.6062423096
209	0.6061500244
210	0.605975708
211	0.6058199463
212	0.605713623
213	0.6056503296
214	0.6055308838
215	0.6054517822
216	0.6052582397
217	0.6050904541
218	0.6049642334
219	0.6048949585
220	0.6048012695
221	0.604730835
222	0.6046809692
223	0.6046173096
224	0.604552124
225	0.6044221191
226	0.6043186646
227	0.6042628174
228	0.6041621094
229	0.6040574341
230	0.6038961792
231	0.6038948364
232	0.6038345337
233	0.6037442627
234	0.6036556396
235	0.6035268555
236	0.6033115234
237	0.603182251
238	0.6030928955
239	0.6029909668
240	0.602902832
241	0.6028314209
242	0.6026951904
243	0.6026220703
244	0.6025975342
245	0.6025193481
246	0.6023497314
247	0.6022380371
248	0.6021499023
249	0.6020111084
250	0.6019379883
251	0.6018169556
252	0.6016501465
253	0.6015612793
254	0.6015103149
255	0.601418335
256	0.6013513794
257	0.6012153931
258	0.6011057739
259	0.6009178467
260	0.6007668457
261	0.6006519775
262	0.6005447998
263	0.6004609985
264	0.6003619385
265	0.6002574463
266	0.600151001
267	0.6000913086
268	0.600008667
269	0.5999227295
270	0.599859314
271	0.5998095703
272	0.599782959
273	0.5996606445
274	0.5995380859
275	0.5993868408
276	0.5992565308
277	0.5991981812
278	0.5990562134
279	0.5989864502
280	0.5989265137
281	0.5988203125
282	0.5986914062
283	0.5986918945
284	0.5985343628
285	0.5984111328
286	0.5982655029
287	0.5981646729
288	0.5980430298
289	0.5979503174
290	0.5978444824
291	0.5977769775
292	0.5976723022
293	0.5975446777
294	0.5974525146
295	0.5973486328
296	0.5972877808
297	0.597229126
298	0.5970681152
299	0.5970206299
300	0.5968115234
301	0.5966380615
302	0.5964885254
303	0.5962558594
304	0.5960523071
305	0.5959272461
306	0.5958320312
307	0.5956746216
308	0.5955839233
309	0.5954215698
310	0.5953123169
311	0.595128479
312	0.5949981689
313	0.5948908691
314	0.5947800293
315	0.5946358643
316	0.5944621582
317	0.5943026123
318	0.5942657471
