iter	Passed	Remaining
0	381	381276
1	388	193690
2	394	131194
3	401	100040
4	408	81259
5	414	68710
6	421	59776
7	428	53089
8	432	47652
9	471	46722
10	478	43026
11	483	39783
12	490	37212
13	517	36413
14	522	34332
15	540	33251
16	556	32161
17	572	31221
18	581	30016
19	587	28785
20	594	27707
21	600	26703
22	609	25875
23	612	24924
24	620	24216
25	625	23417
26	631	22760
27	634	22041
28	640	21430
29	648	20978
30	657	20546
31	663	20056
32	673	19723
33	683	19416
34	690	19037
35	693	18566
36	701	18248
37	708	17935
38	712	17564
39	721	17318
40	728	17041
41	737	16826
42	744	16558
43	750	16300
44	756	16060
45	761	15782
46	767	15560
47	774	15362
48	779	15134
49	786	14935
50	792	14752
51	800	14602
52	808	14445
53	818	14345
54	825	14189
55	834	14064
56	839	13896
57	850	13821
58	861	13745
59	868	13600
60	876	13488
61	884	13378
62	891	13252
63	901	13185
64	912	13130
65	919	13016
66	932	12981
67	944	12945
68	952	12847
69	960	12765
70	974	12746
71	982	12659
72	996	12660
73	1007	12613
74	1015	12522
75	1029	12515
76	1041	12489
77	1049	12402
78	1060	12369
79	1077	12395
80	1088	12348
81	1096	12272
82	1108	12250
83	1124	12262
84	1137	12243
85	1146	12186
86	1153	12105
87	1162	12047
88	1171	11996
89	1178	11913
90	1188	11868
91	1196	11807
92	1205	11756
93	1211	11677
94	1220	11627
95	1226	11546
96	1233	11481
97	1238	11402
98	1242	11306
99	1250	11258
100	1260	11217
101	1270	11181
102	1279	11140
103	1287	11091
104	1298	11068
105	1305	11006
106	1312	10951
107	1320	10905
108	1328	10861
109	1338	10829
110	1351	10822
111	1363	10807
112	1369	10749
113	1381	10740
114	1391	10712
115	1398	10656
116	1408	10629
117	1414	10576
118	1424	10544
119	1431	10498
120	1441	10472
121	1449	10430
122	1462	10428
123	1474	10418
124	1481	10372
125	1490	10338
126	1498	10302
127	1509	10280
128	1516	10235
129	1525	10208
130	1531	10162
131	1542	10139
132	1553	10128
133	1562	10099
134	1574	10089
135	1580	10041
136	1594	10042
137	1609	10053
138	1618	10024
139	1623	9972
140	1632	9942
141	1638	9903
142	1645	9863
143	1652	9825
144	1661	9798
145	1672	9782
146	1679	9743
147	1685	9704
148	1692	9663
149	1698	9623
150	1706	9597
151	1715	9569
152	1720	9522
153	1727	9487
154	1733	9450
155	1739	9411
156	1748	9390
157	1757	9363
158	1764	9331
159	1770	9295
160	1776	9259
161	1781	9217
162	1785	9165
163	1791	9134
164	1798	9101
165	1804	9068
166	1811	9036
167	1819	9009
168	1826	8982
169	1833	8953
170	1840	8922
171	1850	8909
172	1862	8902
173	1870	8877
174	1877	8852
175	1885	8829
176	1895	8812
177	1901	8779
178	1907	8749
179	1915	8724
180	1922	8697
181	1929	8673
182	1939	8658
183	1945	8628
184	1953	8606
185	1961	8584
186	1968	8557
187	1979	8548
188	1991	8544
189	1998	8521
190	2009	8509
191	2017	8488
192	2027	8477
193	2038	8468
194	2046	8449
195	2054	8429
196	2063	8410
197	2072	8396
198	2083	8387
199	2087	8349
200	2094	8326
201	2102	8307
202	2112	8293
203	2118	8266
204	2125	8241
205	2132	8218
206	2140	8198
207	2150	8189
208	2160	8176
209	2167	8152
210	2173	8127
211	2179	8100
212	2184	8070
213	2191	8048
214	2196	8019
215	2201	7991
216	2207	7966
217	2214	7943
218	2221	7922
219	2228	7900
220	2243	7907
221	2254	7899
222	2264	7888
223	2271	7870
224	2283	7866
225	2294	7857
226	2302	7839
227	2311	7826
228	2321	7815
229	2329	7798
230	2335	7774
231	2338	7742
232	2344	7719
233	2352	7702
234	2359	7679
235	2366	7660
236	2374	7643
237	2383	7630
238	2393	7620
239	2401	7604
240	2407	7583
241	2415	7567
242	2422	7546
243	2429	7526
244	2435	7504
245	2442	7487
246	2452	7476
247	2459	7457
248	2469	7448
249	2476	7429
250	2485	7415
251	2492	7398
252	2500	7382
253	2508	7366
254	2515	7350
255	2524	7335
256	2531	7319
257	2541	7308
258	2552	7303
259	2561	7291
